,name,type.id,type.name
208,ASP.NET Web API,ST1,Specialized Skill
209,ASReML,ST1,Specialized Skill
210,ASTM B117 - 11 Standard,ST1,Specialized Skill
211,AT91SAM (Microcontrollers),ST1,Specialized Skill
212,ATA Over Ethernet,ST1,Specialized Skill
213,ATA Packet Interface,ST1,Specialized Skill
214,ATG Dynamo,ST1,Specialized Skill
215,ATL Server,ST1,Specialized Skill
216,ATLAS.ti (Qualitative Data Analysis Software),ST1,Specialized Skill
217,ATM Adaptation Layer,ST1,Specialized Skill
218,ATM Controllers,ST1,Specialized Skill
219,ATP/EMTP Software,ST1,Specialized Skill
220,ATi Radeon R200 Series,ST1,Specialized Skill
221,ATutor,ST1,Specialized Skill
222,AUTomotive Open System Architecture (AUTOSAR),ST1,Specialized Skill
223,AVG (Software),ST1,Specialized Skill
224,AVL Tree,ST1,Specialized Skill
225,AVR32 Microprocessor,ST1,Specialized Skill
226,AVS Video Editor,ST1,Specialized Skill
227,AVSnap,ST1,Specialized Skill
228,AVoided Emissions And GeneRation Tool,ST1,Specialized Skill
229,AWK (Programming Language),ST1,Specialized Skill
230,AWS Amplify,ST1,Specialized Skill
231,AWS App Mesh,ST1,Specialized Skill
232,AWS AppSync,ST1,Specialized Skill
233,AWS Auto Scaling,ST1,Specialized Skill
234,AWS Backup,ST1,Specialized Skill
235,AWS Batch,ST1,Specialized Skill
236,AWS CLI (Command Line Interface),ST1,Specialized Skill
237,AWS CloudFormation,ST1,Specialized Skill
238,AWS CloudHSM,ST1,Specialized Skill
239,AWS CloudTrail,ST1,Specialized Skill
240,AWS CodeBuild,ST1,Specialized Skill
241,AWS CodeCommit,ST1,Specialized Skill
242,AWS CodeDeploy,ST1,Specialized Skill
243,AWS CodePipeline,ST1,Specialized Skill
244,AWS Cost Management,ST1,Specialized Skill
245,AWS Directory Service,ST1,Specialized Skill
246,AWS Elastic Beanstalk,ST1,Specialized Skill
247,AWS Elastic MapReduce (EMR),ST1,Specialized Skill
248,AWS Glue,ST1,Specialized Skill
249,AWS Identity And Access Management (IAM),ST1,Specialized Skill
250,AWS Inferentia,ST1,Specialized Skill
251,AWS Internet Of Things (IoT),ST1,Specialized Skill
252,AWS Key Management Service (KMS),ST1,Specialized Skill
253,AWS Kinesis,ST1,Specialized Skill
254,AWS Lambda,ST1,Specialized Skill
255,AWS OpsWorks,ST1,Specialized Skill
256,AWS SDK,ST1,Specialized Skill
257,AWS SageMaker,ST1,Specialized Skill
258,AWS Serverless,ST1,Specialized Skill
259,AWS User Pools,ST1,Specialized Skill
260,AWStats,ST1,Specialized Skill
261,AX.25 Protocol,ST1,Specialized Skill
262,Ab Initio (Software),ST1,Specialized Skill
263,Abaqus,ST1,Specialized Skill
264,Abc Analysis,ST1,Specialized Skill
265,Abcpdf,ST1,Specialized Skill
266,Abdomen (Medical),ST1,Specialized Skill
267,Abdominal Aneurysm,ST1,Specialized Skill
268,Abdominal Surgery,ST1,Specialized Skill
269,Abdominal Trauma,ST1,Specialized Skill
270,Abdominal Ultrasonography,ST1,Specialized Skill
271,Abdominoplasty,ST1,Specialized Skill
272,Abend-AID,ST1,Specialized Skill
273,AbiWord,ST1,Specialized Skill
274,Abiotic Stress Resistance,ST1,Specialized Skill
275,Abiquo Enterprise Edition,ST1,Specialized Skill
276,Ablation,ST1,Specialized Skill
277,Able2Extract,ST1,Specialized Skill
278,Ableton Live,ST1,Specialized Skill
279,Abnormal Psychology,ST1,Specialized Skill
280,Abnormal Return,ST1,Specialized Skill
281,Aboriginal Law,ST1,Specialized Skill
282,Abrasion,ST1,Specialized Skill
283,Abrasive Blasting,ST1,Specialized Skill
284,Abrasive Saw,ST1,Specialized Skill
285,Abscesses,ST1,Specialized Skill
286,Absolute Manage,ST1,Specialized Skill
287,Absorption (Electromagnetic Radiation),ST1,Specialized Skill
288,Absorption Distribution Metabolism And Excretion (ADME),ST1,Specialized Skill
289,Absorption Refrigeration,ST1,Specialized Skill
290,Absorption Spectroscopy,ST1,Specialized Skill
291,Abstract Algebra,ST1,Specialized Skill
292,Abstract Class,ST1,Specialized Skill
293,Abstract Data Types,ST1,Specialized Skill
294,Abstract Factory Pattern,ST1,Specialized Skill
295,Abstract Management,ST1,Specialized Skill
296,Abstract Of Title,ST1,Specialized Skill
297,Abstract State Machine Language (ASML),ST1,Specialized Skill
298,Abstract Syntax Notation One,ST1,Specialized Skill
299,Abstract Syntax Tree,ST1,Specialized Skill
300,Abstract User Interface Markup Language (AUIML),ST1,Specialized Skill
